Princeton University,,,,,,,
Princeton University,357,Racial Masquerade in American Culture,Ctr African American Studies,AAS,Anne A. Cheng; Daphne A. Brooks,N/A,
Princeton University,359,African American Literature: Harlem Ren,Ctr African American Studies,AAS,Jose E. Raymundo,N/A,
Princeton University,360,Interracial Sex in the Colonial World,Ctr African American Studies,AAS,Carina E. Ray,N/A,
Princeton University,361,The Literary South,Ctr African American Studies,AAS,Alexandra T. Vazquez,N/A,
Princeton University,362,"Black, Yet American: An Exploration",Ctr African American Studies,AAS,Imani Perry,N/A,
Princeton University,362,Race and the American Legal Process,Ctr African American Studies,AAS,Imani Perry,N/A,
Princeton University,363,Politics of Writing and Difference: Cuban Literature of Slavery,Ctr African American Studies,AAS,Rachel L. Price,N/A,
Princeton University,364,"Race, Drugs, and Drug Policy in America",Ctr African American Studies,AAS,Keith A. Wailoo,N/A,
Princeton University,365,Migration and the Literary Imagination,Ctr African American Studies,AAS,Wallace D. Best,N/A,
Princeton University,367,African American History from Reconstruc,Ctr African American Studies,AAS,Joshua B. Guild,N/A,
Princeton University,367,African American History Reconstruction,Ctr African American Studies,AAS,Crystal N. Feimster; Joshua B. Guild,N/A,
Princeton University,368,Topics in African American Religion: Black Religion and Black Political Thought,Ctr African American Studies,AAS,Melissa V. Harris-Lacewell,N/A,
Princeton University,370,History of Criticism,Ctr African American Studies,AAS,Daphne A. Brooks,N/A,
Princeton University,371,Africa in the African American Literary,Ctr African American Studies,AAS,Wendy L. Belcher,N/A,
Princeton University,372,Postblack - Contemporary Af/Am Art,Ctr African American Studies,AAS,Chika O. Okeke-Agulu,N/A,
Princeton University,373,History of African American Art,Ctr African American Studies,AAS,Rachael Z. DeLue,N/A,
Princeton University,374,"Growing Up Global, Transnat. Childhoods",Ctr African American Studies,AAS,Wendy L. Belcher,N/A,
Princeton University,375,Social Stigma: Target of Prejudice,Ctr African American Studies,AAS,Stacey A. Sinclair,N/A,
Princeton University,376,Topics in Comedy and Satire: African American Satire,Ctr African American Studies,AAS,Daphne A. Brooks; Elizabeth B. Machlan,N/A,
Princeton University,377,Race and Religion in America,Ctr African American Studies,AAS,Judith L. Weisenfeld,N/A,
Princeton University,379,"Black Europe: Race, Ethnicity, Diaspora",Ctr African American Studies,AAS,Laurie N. McIntosh,N/A,
Princeton University,380,American Sermon: Homiletics,Ctr African American Studies,AAS,Wallace D. Best,N/A,
Princeton University,381,"Social Change and the City: Education, E",Ctr African American Studies,AAS,Andrew J. Seligsohn; Noliwe M. Rooks,N/A,
Princeton University,382,"Race, Religion, & the Harlem Renaissance",Ctr African American Studies,AAS,Wallace D. Best,N/A,
Princeton University,384,"Prejudice: Causes, Consequences, Cures",Ctr African American Studies,AAS,Keiko Taga Brynildsen; Stacey A. Sinclair,N/A,
Princeton University,385,Masterpieces of African Literature,Ctr African American Studies,AAS,Wendy L. Belcher,N/A,
Princeton University,387,Topics in Black Literature: Toni Morrison,Ctr African American Studies,AAS,Valerie A. Smith,N/A,
Princeton University,392,Topics in African American Literature: A Survey of African-American Theatre,Ctr African American Studies,AAS,Daphne A. Brooks,N/A,
Princeton University,393,Contemporary African American Poetry,Ctr African American Studies,AAS,Mendi L. Obadike,N/A,
