University of California - Berkeley,C175,The Economics of Climate Change,ENVECON,ENVECON,,,,http://www.koofers.com/university-of-california-berkeley/enve/c175-the-economics-of-climate-change/,,,,,,
University of California - Berkeley,43B,Aspects of French Culture,FRENCH,FRENCH,,,,http://www.koofers.com/university-of-california-berkeley/fren/43b-p-aspects-of-french-culture/,,,,,,
University of California - Berkeley,301C,Chemistry 3 Lab Assistant,CHEM,CHEM,,,,http://www.koofers.com/university-of-california-berkeley/chem/301c-chemistry-3-lab-assistant/,,,,,,
University of California - Berkeley,13,GENETIC REVOLUTIONS,PLANTBI,PLANTBI,,,,http://www.koofers.com/university-of-california-berkeley/pmb/013-genetic-revolutions/,,,,,,
University of California - Berkeley,298,Seminars for Graduate Students,CHEM,CHEM,,,,http://www.koofers.com/university-of-california-berkeley/chem/298-seminars-for-graduate-students/,,,,,,
University of California - Berkeley,1,Leadership Laboratory,MIL SCI,MIL SCI,,,,http://www.koofers.com/university-of-california-berkeley/mili/1-p-leadership-laboratory/,,,,,,
University of California - Berkeley,6,"Man, God, and Society in Western Literature",PHILOS,PHILOS,,,,http://www.koofers.com/university-of-california-berkeley/phil/006-man-god-soc-w-lit/,,,,,,
University of California - Berkeley,98,Supervised Group Study,CHEM,CHEM,,,,http://www.koofers.com/university-of-california-berkeley/chem/98-supervised-group-study/,,,,,,
University of California - Berkeley,10,Introduction to Acting,THEATER,THEATER,,,,http://www.koofers.com/university-of-california-berkeley/thea/10-p-introduction-to-acting/,,,,,,
University of California - Berkeley,170,BUSINESS ETHICS,UGBA,UGBA,,,,http://www.koofers.com/university-of-california-berkeley/ubus/170-business-ethics/,,,,,,
University of California - Berkeley,40,INTRO EARTH SYS SCI,GEOG,GEOG,,,,http://www.koofers.com/university-of-california-berkeley/geog/040-intro-earth-sys-sci/,,,,,,
University of California - Berkeley,50,The Immune System and Disease,MCELLBI,MCELLBI,,,,http://www.koofers.com/university-of-california-berkeley/mbio/50-the-immune-system-and-disease/,,,,,,
