Georgetown University,236,Case Stdy Anlys Nurs Pract II,NURS,NURS,,,,http://www.koofers.com/georgetown-university/nurs/236-case-stdy-anlss-nurs-pract-ii/,,,,,,
Georgetown University,100,Intl Institutns & Human Rights,INAF,INAF,,,,http://www.koofers.com/georgetown-university/inaf/100-sfs-proseminar/,,,,,,
Georgetown University,260,Intro to Music & Film,MUSC,MUSC,,,,http://www.koofers.com/georgetown-university/musc/260-intro-to-film-music/,,,,,,
Georgetown University,112,Intensive Adv French II,FREN,FREN,,,,http://www.koofers.com/georgetown-university/fren/112-intensive-adv-french-ii/,,,,,,
Georgetown University,120,Physiological Psychology,PSYC,PSYC,,,,http://www.koofers.com/georgetown-university/psyc/120-physiological-psychology/,,,,,,
Georgetown University,112,Intens Second Lev Chinese II,CHIN,CHIN,,,,http://www.koofers.com/georgetown-university/chin/112-intens-second-lev-chinese-ii/,,,,,,
Georgetown University,251,Advanced Accounting,ACCT,ACCT,,,,http://www.koofers.com/georgetown-university/acct/251-advanced-accounting/,,,,,,
Georgetown University,202,Maternal/Chld Hlth:Dev Countri,INTH,INTH,,,,http://www.koofers.com/georgetown-university/inth/202-maternal-chld-hlth-dev-countri/,,,,,,
Georgetown University,40,Gateway:Med&/Or Ren Lit/Cult,ENGL,ENGL,,,,http://www.koofers.com/georgetown-university/engl/040-gateway-med-or-ren-lit-cult/,,,,,,
Georgetown University,681,Econ of the Public Sector,ECIL,ECIL,,,,http://www.koofers.com/georgetown-university/ecil/681-econ-of-the-public-sector/,,,,,,
Georgetown University,11,Intro to Biblical Literature,THEO,THEO,,,,http://www.koofers.com/georgetown-university/theo/011-intro-to-biblical-literature/,,,,,,
Georgetown University,243,International Trade,ECON,ECON,,,,http://www.koofers.com/georgetown-university/econ/243-international-trade/,,,,,,
Georgetown University,121,Comparative Political Systems,GOVT,GOVT,,,,http://www.koofers.com/georgetown-university/govt/121-comparative-political-systems/,,,,,,
Georgetown University,21,Intermediate French I,FREN,FREN,,,,http://www.koofers.com/georgetown-university/fren/021-intermediate-french-i/,,,,,,
Georgetown University,181,Business Law I,ACCT,ACCT,,,,http://www.koofers.com/georgetown-university/acct/181-business-law-i/,,,,,,
