Course Title,Course ID,City,University,State,Department Code,Course URL
Social Cognitive Development,433,New Haven,Yale University,Connecticut,PSYC,http://www.koofers.com/yale-university/psyc/433-social-cognitive-development/
Post Pro Architectural Design,1061,New Haven,Yale University,Connecticut,ARCH,http://www.koofers.com/yale-university/arch/1061-post-pro-architectural-design/
JewshHistWritngMidAges&Rensnce,768,New Haven,Yale University,Connecticut,JDST,http://www.koofers.com/yale-university/jdst/768-jewshhistwritngmidages-rensnce/
Philosophy of Religion,971,New Haven,Yale University,Connecticut,REL,http://www.koofers.com/yale-university/rel/971-philosophy-of-religion/
Intro to Cultural Anthropology,110,New Haven,Yale University,Connecticut,ANTH,http://www.koofers.com/yale-university/anth/110-intro-to-cultural-anthropology/
Survey of Medieval Latin Lit,554,New Haven,Yale University,Connecticut,MDVL,http://www.koofers.com/yale-university/mdvl/554-survey-of-medieval-latin-lit/
SocialStudiesScienceTech&Medic,710,New Haven,Yale University,Connecticut,HSHM,http://www.koofers.com/yale-university/hshm/710-socialstudiessciencetech-medic/
Photography and the City,477,New Haven,Yale University,Connecticut,AMST,http://www.koofers.com/yale-university/amst/477-photography-and-the-city/
Poetics I:Theory Work of Lit,541,New Haven,Yale University,Connecticut,CPLT,http://www.koofers.com/yale-university/cplt/541-poetics-i-theory-work-of-lit/
Ethical Dilemmas of Legislator,371,New Haven,Yale University,Connecticut,CSSM,http://www.koofers.com/yale-university/cssm/371-ethical-dilemmas-of-legislator/
Asian Environments & Frontiers,420,New Haven,Yale University,Connecticut,EVST,http://www.koofers.com/yale-university/evst/420-asian-environments-frontiers/
RecordngTheVoice:AcousticMedia,268,New Haven,Yale University,Connecticut,HUMS,http://www.koofers.com/yale-university/hums/268-recordngthevoice-acousticmedia/
Cervantes's Don Quijote TR,300,New Haven,Yale University,Connecticut,SPAN,http://www.koofers.com/yale-university/span/300-cervantes-don-quijote-tr/
Master's Project,2120,New Haven,Yale University,Connecticut,F&ES,http://www.koofers.com/yale-university/f-es/2120-masters-project/
Lab Section,127LD,New Haven,Yale University,Connecticut,CHEM,http://www.koofers.com/yale-university/chem/127ld-lab-section/
Imperialsm&Race:CentralAmerica,330J,New Haven,Yale University,Connecticut,HIST,http://www.koofers.com/yale-university/hist/330j-imperialsm-race-centralamerica/
Holocaust in Hist Perspective,788,New Haven,Yale University,Connecticut,JDST,http://www.koofers.com/yale-university/jdst/788-holocaust-in-hist-perspective/
American Photos: 1839-1971,220,New Haven,Yale University,Connecticut,AMST,http://www.koofers.com/yale-university/amst/220-american-photos-1839-1971/
MiddleEast&West:ClturlEncountr,385J,New Haven,Yale University,Connecticut,HIST,http://www.koofers.com/yale-university/hist/385j-middleeast-west-clturlencountr/
Canonizing African Amer Poetry,656,New Haven,Yale University,Connecticut,AMST,http://www.koofers.com/yale-university/amst/656-canonizing-african-amer-poetry/
Statistics as a Way of Knowing,129,New Haven,Yale University,Connecticut,PSYC,http://www.koofers.com/yale-university/psyc/129-statistics-as-a-way-of-knowing/
Integrated Workshop,991,New Haven,Yale University,Connecticut,PHYS,http://www.koofers.com/yale-university/phys/991-integrated-workshop/
Politics in South &North Korea,212,New Haven,Yale University,Connecticut,EAST,http://www.koofers.com/yale-university/east/212-politics-in-south-north-korea/
Required Theology Seminar,905,New Haven,Yale University,Connecticut,RLST,http://www.koofers.com/yale-university/rlst/905-required-theology-seminar/
The Making of Monasticism,531,New Haven,Yale University,Connecticut,HIST,http://www.koofers.com/yale-university/hist/531-the-making-of-monasticism/
Primary Care Prob of Adults II,757,New Haven,Yale University,Connecticut,NURS,http://www.koofers.com/yale-university/nurs/757-primary-care-prob-of-adults-ii/
Islamic Theology & Philosophy,287,New Haven,Yale University,Connecticut,RLST,http://www.koofers.com/yale-university/rlst/287-islamic-theology-philosophy/
Repertory Chorus (Conducting),632,New Haven,Yale University,Connecticut,MUS,http://www.koofers.com/yale-university/mus/632-repertory-chorus-conducting/
GeneticsReproduction & Society,882,New Haven,Yale University,Connecticut,AMST,http://www.koofers.com/yale-university/amst/882-geneticsreproduction-society/
Micro Theory Lunch,523,New Haven,Yale University,Connecticut,ECON,http://www.koofers.com/yale-university/econ/523-micro-theory-lunch/
SeminarsClinicalInvestigation,650,New Haven,Yale University,Connecticut,IMED,http://www.koofers.com/yale-university/imed/650-seminarsclinicalinvestigation/
SeniorProject:ClassicalCiviliz,451,New Haven,Yale University,Connecticut,CLCV,http://www.koofers.com/yale-university/clcv/451-seniorproject-classicalciviliz/
Principles of Epidemiology I,508,New Haven,Yale University,Connecticut,CDE,http://www.koofers.com/yale-university/cde/508-principles-of-epidemiology-i/
WelfareEconomics&PolitclPhilos,345,New Haven,Yale University,Connecticut,PLSC,http://www.koofers.com/yale-university/plsc/345-welfareeconomics-politclphilos/
Debating Globalization,377,New Haven,Yale University,Connecticut,EP&E,http://www.koofers.com/yale-university/ep-e/377-debating-globalization/
World Cinema,240,New Haven,Yale University,Connecticut,FILM,http://www.koofers.com/yale-university/film/240-world-cinema/
InternationalHumanRightsRegime,192,New Haven,Yale University,Connecticut,PLSC,http://www.koofers.com/yale-university/plsc/192-dvlpmt-intrntnl-human-rights/
