Course Title,Course ID,City,University,State,Department Code,Course URL
The People,272,New Haven,Yale University,Connecticut,EP&E,http://www.koofers.com/yale-university/ep-e/272-the-people/
Rotation: Hematology/Oncology,958,New Haven,Yale University,Connecticut,PA,http://www.koofers.com/yale-university/pa/958-rotation-hematology-oncology/
Surface & Surface Processes,608,New Haven,Yale University,Connecticut,ENAS,http://www.koofers.com/yale-university/enas/608-surface-surface-processes/
Tutorial in Paleobiology,800,New Haven,Yale University,Connecticut,G&G,http://www.koofers.com/yale-university/g-g/800-tutorial-in-paleobiology/
Global Afghans,337,New Haven,Yale University,Connecticut,ANTH,http://www.koofers.com/yale-university/anth/337-global-afghans/
EarTrainingfor20thCenturyMusic,658,New Haven,Yale University,Connecticut,MUS,http://www.koofers.com/yale-university/mus/658-eartrainingfor20thcenturymusic/
RiseOfReligionInModernAmerica,2,New Haven,Yale University,Connecticut,HIST,http://www.koofers.com/yale-university/hist/002-riseofreligioninmodernamerica/
Theory of Statistics,542,New Haven,Yale University,Connecticut,STAT,http://www.koofers.com/yale-university/stat/542-theory-of-statistics/
Intro to Jewish Mysticism,693,New Haven,Yale University,Connecticut,JDST,http://www.koofers.com/yale-university/jdst/693-intro-to-jewish-mysticism/
Independent Tutorial,471,New Haven,Yale University,Connecticut,VIET,http://www.koofers.com/yale-university/viet/471-independent-tutorial/
Mathematical Economics,530,New Haven,Yale University,Connecticut,MATH,http://www.koofers.com/yale-university/math/530-mathematical-economics/
Data Mining & Machine Learning,365,New Haven,Yale University,Connecticut,STAT,http://www.koofers.com/yale-university/stat/365-data-mining-machine-learning/
Politics:Nationalism&Ethnicity,407,New Haven,Yale University,Connecticut,PLSC,http://www.koofers.com/yale-university/plsc/407-politics-nationalism-ethnicity/
Philosophy of Art,260,New Haven,Yale University,Connecticut,HUMS,http://www.koofers.com/yale-university/hums/260-philosophy-of-art/
EthicsAgeGlobalztin&Multinat'l,286,New Haven,Yale University,Connecticut,EP&E,http://www.koofers.com/yale-university/ep-e/286-ethicsageglobalztin-multinatl/
Advanced Legal Research,21027,New Haven,Yale University,Connecticut,LAW,http://www.koofers.com/yale-university/law/21027-advanced-legal-research/
PortuguesForRomanceLangSpkrsII,122,New Haven,Yale University,Connecticut,PORT,http://www.koofers.com/yale-university/port/122-portuguesforromancelangspkrsii/
Refugee Law and Policy,310,New Haven,Yale University,Connecticut,EP&E,http://www.koofers.com/yale-university/ep-e/310-refugee-law-and-policy/
Rethinking AFAM Literary Canon,748,New Haven,Yale University,Connecticut,AFAM,
Discussion Section,210D,New Haven,Yale University,Connecticut,HIST,http://www.koofers.com/yale-university/hist/210d-discussion-section/
Intro to Representation Theory,353,New Haven,Yale University,Connecticut,MATH,http://www.koofers.com/yale-university/math/353-intro-to-representation-theory/
Video: Storyboards to Color,593,New Haven,Yale University,Connecticut,ART,http://www.koofers.com/yale-university/art/593-video-storyboards-to-color/
Lab Section,121LD,New Haven,Yale University,Connecticut,MCDB,http://www.koofers.com/yale-university/mcdb/121ld-lab-section/
Readings in Hebrew Poetry,924,New Haven,Yale University,Connecticut,CPLT,http://www.koofers.com/yale-university/cplt/924-readings-in-hebrew-poetry/
TheoryStatutoryInterpretation,20588,New Haven,Yale University,Connecticut,LAW,http://www.koofers.com/yale-university/law/20588-theorystatutoryinterpretation/
Directed Reading,900,New Haven,Yale University,Connecticut,CLSS,http://www.koofers.com/yale-university/clss/900-directed-reading/
Arabic Seminar,505,New Haven,Yale University,Connecticut,NELC,http://www.koofers.com/yale-university/nelc/505-mesopotamnhist-mid-babylonian/
Broadcast Sequence,747,New Haven,Yale University,Connecticut,ART,http://www.koofers.com/yale-university/art/747-broadcast-sequence/
EastAsia:Translation&ModernLit,267,New Haven,Yale University,Connecticut,LITR,http://www.koofers.com/yale-university/litr/267-eastasia-translation-modernlit/
MedievalReadingWrtngAD400-1500,623,New Haven,Yale University,Connecticut,CLSS,http://www.koofers.com/yale-university/clss/623-medievalreadingwrtngad400-1500/
MMA Seminar II,850,New Haven,Yale University,Connecticut,MUS,http://www.koofers.com/yale-university/mus/850-mma-seminar-ii/
MakingDecisions w/Spreadsheets,517,New Haven,Yale University,Connecticut,MGT,http://www.koofers.com/yale-university/mgt/517-makingdecisions-w-spreadsheets/
Politics of Language,632,New Haven,Yale University,Connecticut,ANTH,http://www.koofers.com/yale-university/anth/632-politics-of-language/
Introductory Hearing,499,New Haven,Yale University,Connecticut,MUS,http://www.koofers.com/yale-university/mus/499-introductory-hearing/
Social Demolition,334,New Haven,Yale University,Connecticut,ANTH,http://www.koofers.com/yale-university/anth/334-social-demolition/
Gay and Lesbian Theater,356,New Haven,Yale University,Connecticut,THST,http://www.koofers.com/yale-university/thst/356-gay-and-lesbian-theater/
Techniques in Neurolinguistics,230,New Haven,Yale University,Connecticut,LING,http://www.koofers.com/yale-university/ling/230-techniques-in-neurolinguistics/
Intro to German Theater,172,New Haven,Yale University,Connecticut,GMAN,http://www.koofers.com/yale-university/gman/172-introgermanlit-buechner-presnt/
Independent Project,1035,New Haven,Yale University,Connecticut,F&ES,http://www.koofers.com/yale-university/f-es/1035-independent-project/
FeministTheory:State&Non-State,631,New Haven,Yale University,Connecticut,WGSS,http://www.koofers.com/yale-university/wgss/631-feministtheory-state-non-state/
Archaeology of China,215,New Haven,Yale University,Connecticut,ANTH,http://www.koofers.com/yale-university/anth/215-archaeology-of-china/
RomanPaintngAchievement&Legacy,581,New Haven,Yale University,Connecticut,HSAR,http://www.koofers.com/yale-university/hsar/581-romanpaintngachievement-legacy/
ShakespeareHistories&Tragedies,201,New Haven,Yale University,Connecticut,ENGL,http://www.koofers.com/yale-university/engl/201-shakespre-histories-tragedies/
Comparatve&InternatnlBioethics,247,New Haven,Yale University,Connecticut,INTS,http://www.koofers.com/yale-university/ints/247-comparatve-internatnlbioethics/
Sexual Violence and War,406,New Haven,Yale University,Connecticut,AFST,http://www.koofers.com/yale-university/afst/406-sexual-violence-and-war/
The Viking Age,79,New Haven,Yale University,Connecticut,HUMS,http://www.koofers.com/yale-university/hums/079-the-viking-age/
Indians and Empires,741,New Haven,Yale University,Connecticut,AMST,http://www.koofers.com/yale-university/amst/741-indians-and-empires/
The Civil Rights Revolution,846,New Haven,Yale University,Connecticut,PLSC,http://www.koofers.com/yale-university/plsc/846-the-civil-rights-revolution/
VexationsRlgn&PltcsBlackCmmty,833,New Haven,Yale University,Connecticut,AFAM,http://www.koofers.com/yale-university/afam/833-vexationsrlgn-pltcsblackcmmty/
Historians of the Roman Empire,411,New Haven,Yale University,Connecticut,CLCV,http://www.koofers.com/yale-university/clcv/411-historians-of-the-roman-empire/
LyricDiction/Singers GERMAN,706,New Haven,Yale University,Connecticut,MUS,http://www.koofers.com/yale-university/mus/706-lyric-dictionforsingersitalian/
Political Economy: Environment,200,New Haven,Yale University,Connecticut,PLSC,http://www.koofers.com/yale-university/plsc/200-political-economy-environment/
UnderstandingGlobalFinCenters,583,New Haven,Yale University,Connecticut,MGT,http://www.koofers.com/yale-university/mgt/583-understandingglobalfincenters/
AnalyticalMethodsinMarketing,755,New Haven,Yale University,Connecticut,MGMT,http://www.koofers.com/yale-university/mgmt/755-analyticalmethodsinmarketing/
IntroModrnMiddleEasternStudies,493,New Haven,Yale University,Connecticut,WGSS,http://www.koofers.com/yale-university/wgss/493-intromodrnmiddleeasternstudies/
Ecoepidemiology,572,New Haven,Yale University,Connecticut,EMD,http://www.koofers.com/yale-university/emd/572-epi-of-vec-borne-zoonotic-dis/
Proust,402,New Haven,Yale University,Connecticut,FREN,http://www.koofers.com/yale-university/fren/402-proust/
Intersectionality&WomensHealth,451,New Haven,Yale University,Connecticut,ANTH,http://www.koofers.com/yale-university/anth/451-intersectionality-womenshealth/
Chinese Archeology to 1275CE,305,New Haven,Yale University,Connecticut,HIST,http://www.koofers.com/yale-university/hist/305-chinese-archeology-to-1275ce/
Creativity&NewProductDevelopmt,323,New Haven,Yale University,Connecticut,ENAS,http://www.koofers.com/yale-university/enas/323-creativity-newproductdevelopmt/
LGBT Rights Litigation,21594,New Haven,Yale University,Connecticut,LAW,http://www.koofers.com/yale-university/law/21594-lgbt-rights-litigation/
Intensive Intermediate Italian,145,New Haven,Yale University,Connecticut,ITAL,http://www.koofers.com/yale-university/ital/145-intensive-intermediate-italian/
ControversiesHumanEvolution,444,New Haven,Yale University,Connecticut,HSHM,http://www.koofers.com/yale-university/hshm/444-controversieshumanevolution/
Christianity & Culture,946,New Haven,Yale University,Connecticut,REL,http://www.koofers.com/yale-university/rel/946-christianity-culture/
Discussion Section,247D,New Haven,Yale University,Connecticut,SOCY,http://www.koofers.com/yale-university/socy/247d-discussion-section/
Medieval Celtic Literature TR,463,New Haven,Yale University,Connecticut,LITR,http://www.koofers.com/yale-university/litr/463-medieval-celtic-literature-tr/
Topics on Hyperbolic Geometry,810,New Haven,Yale University,Connecticut,MATH,http://www.koofers.com/yale-university/math/810-topics-on-hyperbolic-geometry/
Contemporary Chinese Texts I,158,New Haven,Yale University,Connecticut,CHNS,http://www.koofers.com/yale-university/chns/158-contemporary-chinese-texts-i/
"Property,SocJustic&Environment",20202,New Haven,Yale University,Connecticut,LAW,http://www.koofers.com/yale-university/law/20202-propertysocjustic-environment/
Leonardo da Vinci,284,New Haven,Yale University,Connecticut,HSAR,http://www.koofers.com/yale-university/hsar/284-leonardo-da-vinci/
DriReading:AncientChristianity,962,New Haven,Yale University,Connecticut,RLST,http://www.koofers.com/yale-university/rlst/962-drireading-ancientchristianity/
Topics in African Studies,622,New Haven,Yale University,Connecticut,ANTH,http://www.koofers.com/yale-university/anth/622-africa-and-the-disciplines/
Comparative Environmental Law,80041,New Haven,Yale University,Connecticut,F&ES,http://www.koofers.com/yale-university/f-es/80041-comparative-environmental-law/
"Gravity,Astrophysics&Cosmology",343,New Haven,Yale University,Connecticut,ASTR,http://www.koofers.com/yale-university/astr/343-gravityastrophysics-cosmology/
Materials & Morphology,661,New Haven,Yale University,Connecticut,ARCH,http://www.koofers.com/yale-university/arch/661-materials-morphology/
History of Food and Cuisine,16,New Haven,Yale University,Connecticut,HIST,http://www.koofers.com/yale-university/hist/016-history-of-food-and-cuisine/
Chaucer,546,New Haven,Yale University,Connecticut,ENGL,http://www.koofers.com/yale-university/engl/546-chaucer-the-canterbury-tales/
Research Methods,70002,New Haven,Yale University,Connecticut,F&ES,http://www.koofers.com/yale-university/f-es/70002-research-methods/
Advanced Special Projects,472,New Haven,Yale University,Connecticut,EENG,http://www.koofers.com/yale-university/eeng/472-advanced-special-projects/
Biomaterials,534,New Haven,Yale University,Connecticut,ENAS,http://www.koofers.com/yale-university/enas/534-biomaterials/
The History of Dance,370,New Haven,Yale University,Connecticut,AMST,http://www.koofers.com/yale-university/amst/370-the-history-of-dance/
Idea of the Western Hemisphere,411,New Haven,Yale University,Connecticut,AMST,http://www.koofers.com/yale-university/amst/411-idea-of-the-western-hemisphere/
Greek Literature & War TR,263,New Haven,Yale University,Connecticut,HUMS,http://www.koofers.com/yale-university/hums/263-greek-literature-war-tr/
Intro to Evidence Based Health,650,New Haven,Yale University,Connecticut,CDE,http://www.koofers.com/yale-university/cde/650-intro-to-evidence-based-health/
Deformation of Earth Materials,450,New Haven,Yale University,Connecticut,G&G,http://www.koofers.com/yale-university/g-g/450-deformation-of-earth-materials/
Numismatics,507,New Haven,Yale University,Connecticut,HIST,http://www.koofers.com/yale-university/hist/507-numismatics/
Franco-Belgian Comic Strips,345,New Haven,Yale University,Connecticut,LITR,http://www.koofers.com/yale-university/litr/345-franco-belgian-comic-strips/
Discussion Section,376D,New Haven,Yale University,Connecticut,INTS,http://www.koofers.com/yale-university/ints/376d-discussion-section/
Master's Project,2390,New Haven,Yale University,Connecticut,F&ES,http://www.koofers.com/yale-university/f-es/2390-masters-project/
Discussion Section,191D,New Haven,Yale University,Connecticut,AMST,http://www.koofers.com/yale-university/amst/191d-discussion-section/
Writing Seminars,114,New Haven,Yale University,Connecticut,ENGL,http://www.koofers.com/yale-university/engl/114-writing-seminars-i/
Readings on Early Amr History,704,New Haven,Yale University,Connecticut,HIST,http://www.koofers.com/yale-university/hist/704-readings-on-early-amr-history/
VectorCalculus&LinearAlgebraII,231,New Haven,Yale University,Connecticut,MATH,http://www.koofers.com/yale-university/math/231-vectorcalculus-linearalgebraii/
Molecular BiologyAnimalViruses,634,New Haven,Yale University,Connecticut,PATH,http://www.koofers.com/yale-university/path/634-molecular-biologyanimalviruses/
Lab Section,203LD,New Haven,Yale University,Connecticut,MCDB,http://www.koofers.com/yale-university/mcdb/203ld-lab-section/
17th-Century Pictorial Worlds,281,New Haven,Yale University,Connecticut,HSAR,http://www.koofers.com/yale-university/hsar/281-17th-century-pictorial-worlds/
Economics and Computation,455,New Haven,Yale University,Connecticut,CPSC,http://www.koofers.com/yale-university/cpsc/455-economics-and-computation/
Elementary Korean I,110,New Haven,Yale University,Connecticut,KREN,http://www.koofers.com/yale-university/kren/110-elementary-korean-i/
Cultural Theories,792,New Haven,Yale University,Connecticut,JDST,http://www.koofers.com/yale-university/jdst/792-cultural-theories/
The Bible,110,New Haven,Yale University,Connecticut,JDST,http://www.koofers.com/yale-university/jdst/110-the-bible/
Environmental Law and Policy,85033,New Haven,Yale University,Connecticut,F&ES,http://www.koofers.com/yale-university/f-es/85033-environmental-law-and-policy/
FourAmericanWritersSince1950,439,New Haven,Yale University,Connecticut,AMST,http://www.koofers.com/yale-university/amst/439-fouramericanwriterssince1950/
"Race, Racisms, & Social Theory",719,New Haven,Yale University,Connecticut,WGSS,http://www.koofers.com/yale-university/wgss/719-race-racisms-social-theory/
Philosophy of Torts &Contracts,21608,New Haven,Yale University,Connecticut,LAW,http://www.koofers.com/yale-university/law/21608-philosophy-of-torts-contracts/
"Alpine,Arctic,Boreal Ecosystem",60102,New Haven,Yale University,Connecticut,F&ES,http://www.koofers.com/yale-university/f-es/60102-alpinearcticboreal-ecosystem/
Architecture&RitualSouthrnAsia,795,New Haven,Yale University,Connecticut,HSAR,http://www.koofers.com/yale-university/hsar/795-architecture-ritualsouthrnasia/
Graduate Seminar,50110,New Haven,Yale University,Connecticut,LAW,http://www.koofers.com/yale-university/law/50110-graduate-seminar/
Industrial Organization I,600,New Haven,Yale University,Connecticut,ECON,http://www.koofers.com/yale-university/econ/600-industrial-organization-i/
UrbanAnthropology&GlobalHist,414,New Haven,Yale University,Connecticut,ANTH,http://www.koofers.com/yale-university/anth/414-urbananthropology-globalhist/
Directed Reading & Research,471,New Haven,Yale University,Connecticut,ARCG,http://www.koofers.com/yale-university/arcg/471-dirreading-resrchinarchaeology/
Master Class in Sound Design,318,New Haven,Yale University,Connecticut,DRAM,http://www.koofers.com/yale-university/dram/318-master-class-in-sound-design/
History of Southern Africa,339,New Haven,Yale University,Connecticut,AFST,http://www.koofers.com/yale-university/afst/339-history-of-southern-africa/
Prosody in SpeechCommDisorders,222,New Haven,Yale University,Connecticut,LING,http://www.koofers.com/yale-university/ling/222-prosody-in-speechcommdisorders/
AmericanCultureRevolutionryEra,154J,New Haven,Yale University,Connecticut,HIST,http://www.koofers.com/yale-university/hist/154j-americanculturerevolutionryera/
Charactr&CommnityBibliclStory,524,New Haven,Yale University,Connecticut,REL,http://www.koofers.com/yale-university/rel/524-charactr-commnitybibliclstory/
Military Power,140,New Haven,Yale University,Connecticut,PLSC,http://www.koofers.com/yale-university/plsc/140-military-power/
Discussion Section,262D,New Haven,Yale University,Connecticut,ER&M,http://www.koofers.com/yale-university/er-m/262d-discussion-section/
Introduction to NuclearPhysics,524,New Haven,Yale University,Connecticut,PHYS,http://www.koofers.com/yale-university/phys/524-introduction-to-nuclearphysics/
Religious Lyric in Britain,935,New Haven,Yale University,Connecticut,REL,http://www.koofers.com/yale-university/rel/935-religious-lyric-in-britain/
Production Drafting,179,New Haven,Yale University,Connecticut,DRAM,http://www.koofers.com/yale-university/dram/179-production-drafting/
AdvModernHebrew:IsraeliSociety,213,New Haven,Yale University,Connecticut,JDST,http://www.koofers.com/yale-university/jdst/213-advmodernhebrew-israelisociety/
BlackWomenWritersOf1940s&1950s,331,New Haven,Yale University,Connecticut,WGSS,http://www.koofers.com/yale-university/wgss/331-blackwomenwritersof1940s-1950s/
Directed Research in Japanese,990,New Haven,Yale University,Connecticut,JAPN,http://www.koofers.com/yale-university/japn/990-directed-research-in-japanese/
Milton,672,New Haven,Yale University,Connecticut,ENGL,http://www.koofers.com/yale-university/engl/672-milton/
Pathology,810,New Haven,Yale University,Connecticut,PA,http://www.koofers.com/yale-university/pa/810-pathology/
Chemical Propulsion Systems,365,New Haven,Yale University,Connecticut,MENG,http://www.koofers.com/yale-university/meng/365-chemical-propulsion-systems/
Int'lRelationsFieldSeminar,679,New Haven,Yale University,Connecticut,PLSC,http://www.koofers.com/yale-university/plsc/679-intlrelationsfieldseminar/
Intro Gnostic Texts in Coptic,137,New Haven,Yale University,Connecticut,EGYP,http://www.koofers.com/yale-university/egyp/137-intro-gnostic-texts-in-coptic/
Foundations of Cryptography,561,New Haven,Yale University,Connecticut,CPSC,http://www.koofers.com/yale-university/cpsc/561-foundations-of-cryptography/
CaribbeanDiasporicIntellectual,723,New Haven,Yale University,Connecticut,AFAM,http://www.koofers.com/yale-university/afam/723-caribbeandiasporicintellectual/
WritingConcentrationSeniorProj,489,New Haven,Yale University,Connecticut,ENGL,http://www.koofers.com/yale-university/engl/489-writingconcentrationseniorproj/
Physiological Systems,550,New Haven,Yale University,Connecticut,ENAS,http://www.koofers.com/yale-university/enas/550-physiological-systems/
Stellar Populations,380,New Haven,Yale University,Connecticut,ASTR,http://www.koofers.com/yale-university/astr/380-stellar-populations/
Arabic Seminar,505,New Haven,Yale University,Connecticut,NELC,http://www.koofers.com/yale-university/nelc/505-mesopotamnhist-mid-babylonian/
Broadcast Sequence,747,New Haven,Yale University,Connecticut,ART,http://www.koofers.com/yale-university/art/747-broadcast-sequence/
EastAsia:Translation&ModernLit,267,New Haven,Yale University,Connecticut,LITR,http://www.koofers.com/yale-university/litr/267-eastasia-translation-modernlit/
MedievalReadingWrtngAD400-1500,623,New Haven,Yale University,Connecticut,CLSS,http://www.koofers.com/yale-university/clss/623-medievalreadingwrtngad400-1500/
MMA Seminar II,850,New Haven,Yale University,Connecticut,MUS,http://www.koofers.com/yale-university/mus/850-mma-seminar-ii/
MakingDecisions w/Spreadsheets,517,New Haven,Yale University,Connecticut,MGT,http://www.koofers.com/yale-university/mgt/517-makingdecisions-w-spreadsheets/
Politics of Language,632,New Haven,Yale University,Connecticut,ANTH,http://www.koofers.com/yale-university/anth/632-politics-of-language/
Environmental Hydrology,440,New Haven,Yale University,Connecticut,F&ES,http://www.koofers.com/yale-university/f-es/440-environmental-hydrology/
IntroStatistics: Life Sciences,501,New Haven,Yale University,Connecticut,STAT,http://www.koofers.com/yale-university/stat/501-introstatistics-life-sciences/
Interpretation and Authority,340,New Haven,Yale University,Connecticut,HUMS,http://www.koofers.com/yale-university/hums/340-interpretation-and-authority/
Milos Forman and His Films,364,New Haven,Yale University,Connecticut,FILM,http://www.koofers.com/yale-university/film/364-milos-forman-and-his-films/
Discussion Section,232D,New Haven,Yale University,Connecticut,INTS,http://www.koofers.com/yale-university/ints/232d-discussion-section/
Classical Tales: Tang to Qing,180,New Haven,Yale University,Connecticut,CHNS,http://www.koofers.com/yale-university/chns/180-classical-tales-tang-to-qing/
French for Reading,109,New Haven,Yale University,Connecticut,FREN,http://www.koofers.com/yale-university/fren/109-french-for-reading/
Classic&NewApprchsInt'lHistory,658,New Haven,Yale University,Connecticut,INRL,http://www.koofers.com/yale-university/inrl/658-classic-newapprchsintlhistory/
Responsibility in Law & Morals,21644,New Haven,Yale University,Connecticut,LAW,http://www.koofers.com/yale-university/law/21644-responsibility-in-law-morals/
EvoltnEvilErlyModErpe1500-1800,597,New Haven,Yale University,Connecticut,HIST,http://www.koofers.com/yale-university/hist/597-evoltnevilerlymoderpe1500-1800/
Genetics,202,New Haven,Yale University,Connecticut,MCDB,http://www.koofers.com/yale-university/mcdb/202-genetics/
Tibetan Buddhism,262,New Haven,Yale University,Connecticut,SAST,http://www.koofers.com/yale-university/sast/262-tibetan-buddhism/
"Assets, Poverty, &InequalityII",424,New Haven,Yale University,Connecticut,INTS,http://www.koofers.com/yale-university/ints/424-assets-poverty-inequalityii/
,102,New Haven,Yale University,Connecticut,MMES,http://www.koofers.com/yale-university/mmes/102-intro-to-the-middle-east/
Trinity and World,756,New Haven,Yale University,Connecticut,REL,http://www.koofers.com/yale-university/rel/756-trinity-and-world/
Med&PublicHlthLatnAmr1820-2000,906,New Haven,Yale University,Connecticut,HIST,http://www.koofers.com/yale-university/hist/906-med-publichlthlatnamr1820-2000/
Indiv Instrctn--BASSOON,840,New Haven,Yale University,Connecticut,MUS,http://www.koofers.com/yale-university/mus/840-indiv-instrctn--composition/
Theory of Distributed Systems,425,New Haven,Yale University,Connecticut,CPSC,http://www.koofers.com/yale-university/cpsc/425-theory-of-distributed-systems/
Clinical Practicum,710,New Haven,Yale University,Connecticut,PA,http://www.koofers.com/yale-university/pa/710-clinical-practicum/
Book of Job and Injustice,21123,New Haven,Yale University,Connecticut,LAW,http://www.koofers.com/yale-university/law/21123-book-of-job-and-injustice/
Management Clinic,595,New Haven,Yale University,Connecticut,MGT,http://www.koofers.com/yale-university/mgt/595-management-clinic/
Modeling Geographic Objects,77011,New Haven,Yale University,Connecticut,F&ES,http://www.koofers.com/yale-university/f-es/77011-modeling-geographic-objects/
Senior Essay,499,New Haven,Yale University,Connecticut,MMES,http://www.koofers.com/yale-university/mmes/499-senior-essay/
PoliticalEconTurkey&MiddleEast,582,New Haven,Yale University,Connecticut,INRL,http://www.koofers.com/yale-university/inrl/582-politicaleconturkey-middleeast/
Autobiography in America,406,New Haven,Yale University,Connecticut,AFAM,http://www.koofers.com/yale-university/afam/406-autobiography-in-america/
AfricanAmericanPoets:ModernEra,460,New Haven,Yale University,Connecticut,AMST,http://www.koofers.com/yale-university/amst/460-africanamericanpoets-modernera/
Television in the 1950s,309,New Haven,Yale University,Connecticut,FILM,http://www.koofers.com/yale-university/film/309-television-in-the-1950s/
PhysChemWithBiologScienceApps,328,New Haven,Yale University,Connecticut,CHEM,http://www.koofers.com/yale-university/chem/328-physchemwithbiologscienceapps/
Public Economics,218,New Haven,Yale University,Connecticut,PLSC,http://www.koofers.com/yale-university/plsc/218-public-economics/
AdvModernHebrew:IsraeliSociety,150,New Haven,Yale University,Connecticut,JDST,http://www.koofers.com/yale-university/jdst/150-advmodernhebrew-israelisociety/
The Prose Labyrinth,467,New Haven,Yale University,Connecticut,LITR,http://www.koofers.com/yale-university/litr/467-the-prose-labyrinth/
RelgnMdlEastPolticsConflctRes,984,New Haven,Yale University,Connecticut,REL,http://www.koofers.com/yale-university/rel/984-relmdleastpolticsconflctres/
Discussion Section,251D,New Haven,Yale University,Connecticut,HIST,http://www.koofers.com/yale-university/hist/251d-discussion-section/
Topics in Labor Economics,486,New Haven,Yale University,Connecticut,ECON,http://www.koofers.com/yale-university/econ/486-topics-in-labor-economics/
AfricanAmerMoral&SocialThought,848,New Haven,Yale University,Connecticut,RLST,http://www.koofers.com/yale-university/rlst/848-africanamermoral-socialthought/
Modern Arabic Seminar,166,New Haven,Yale University,Connecticut,ARBC,http://www.koofers.com/yale-university/arbc/166-modern-arabic-seminar/
Comparative Civil Procedure,20554,New Haven,Yale University,Connecticut,LAW,http://www.koofers.com/yale-university/law/20554-comparative-civil-procedure/
"Race, Health, and Captivity",311,New Haven,Yale University,Connecticut,AFAM,http://www.koofers.com/yale-university/afam/311-race-health-and-captivity/
Independent Research,971,New Haven,Yale University,Connecticut,FREN,http://www.koofers.com/yale-university/fren/971-independent-research/
Labor & Population Workshop,639,New Haven,Yale University,Connecticut,ECON,http://www.koofers.com/yale-university/econ/639-labor-population-workshop/
Discussion Section,343D,New Haven,Yale University,Connecticut,PHIL,http://www.koofers.com/yale-university/phil/343d-discussion-section/
Chinese Politics in Reform Era,371,New Haven,Yale University,Connecticut,PLSC,http://www.koofers.com/yale-university/plsc/371-chinese-politics-in-reform-era/
Discussion Section,235D,New Haven,Yale University,Connecticut,HSHM,http://www.koofers.com/yale-university/hshm/235d-discussion-section/
Rels&SocietiesColonizedNoAmer,733,New Haven,Yale University,Connecticut,REL,http://www.koofers.com/yale-university/rel/733-rels-societiescolonizednoamer/
Developmental Psychology,140,New Haven,Yale University,Connecticut,PSYC,http://www.koofers.com/yale-university/psyc/140-developmental-psychology/
Writing Tribal Histories,151J,New Haven,Yale University,Connecticut,HIST,http://www.koofers.com/yale-university/hist/151j-writing-tribal-histories/
Venture Capital Start-up & Law,250,New Haven,Yale University,Connecticut,CSBR,http://www.koofers.com/yale-university/csbr/250-venture-capital-start-up-law/
Seminar in Systematics,930,New Haven,Yale University,Connecticut,E&EB,http://www.koofers.com/yale-university/e-eb/930-seminar-in-phylogenetics/
Econometrics Workshop,568,New Haven,Yale University,Connecticut,ECON,http://www.koofers.com/yale-university/econ/568-econometrics-workshop/
Adv Midwifery Care,780,New Haven,Yale University,Connecticut,NURS,http://www.koofers.com/yale-university/nurs/780-integration/
Colonial&ContempraryLiterature,312,New Haven,Yale University,Connecticut,ER&M,http://www.koofers.com/yale-university/er-m/312-colonial-contempraryliterature/
"Systems Int Disc Sect-KH,CR,ES",648D,New Haven,Yale University,Connecticut,ARCH,http://www.koofers.com/yale-university/arch/648d-systems-int-disc-sect-khcres/
TheEngineering&OwnershipOfLife,938,New Haven,Yale University,Connecticut,HIST,http://www.koofers.com/yale-university/hist/938-theengineering-ownershipoflife/
Social Demolition,534,New Haven,Yale University,Connecticut,ANTH,http://www.koofers.com/yale-university/anth/534-social-demolition/
MngmtPlans for Protected Areas,666,New Haven,Yale University,Connecticut,F&ES,http://www.koofers.com/yale-university/f-es/666-mngmtplans-for-protected-areas/
FilmsFassbinderHerzog&Wenders,466,New Haven,Yale University,Connecticut,FILM,http://www.koofers.com/yale-university/film/466-filmsfassbinderherzog-wenders/
Current Prspctvs in Physiology,520,New Haven,Yale University,Connecticut,C&MP,http://www.koofers.com/yale-university/c-mp/520-current-prspctvs-in-physiology/
Gendering the Middle East,355J,New Haven,Yale University,Connecticut,HIST,http://www.koofers.com/yale-university/hist/355j-gendering-the-middle-east/
India and Globalization,395J,New Haven,Yale University,Connecticut,HIST,http://www.koofers.com/yale-university/hist/395j-india-and-globalization/
Inorganic Chemistry Laboratory,251L,New Haven,Yale University,Connecticut,CHEM,http://www.koofers.com/yale-university/chem/251l-inorganic-chemistry-laboratory/
Discussion Section,272D,New Haven,Yale University,Connecticut,AMST,http://www.koofers.com/yale-university/amst/272d-discussion-section/
Discussion Section,204D,New Haven,Yale University,Connecticut,PHIL,http://www.koofers.com/yale-university/phil/204d-discussion-section/
Reading & Writing Modern Essay,120,New Haven,Yale University,Connecticut,ENGL,http://www.koofers.com/yale-university/engl/120-reading-writing-modern-essay/
GlobalFictions&SocialSystems,265,New Haven,Yale University,Connecticut,EP&E,http://www.koofers.com/yale-university/ep-e/265-globalfictions-socialsystems/
Hist&TheoryContemporaryArch,704,New Haven,Yale University,Connecticut,HSAR,http://www.koofers.com/yale-university/hsar/704-hist-theorycontemporaryarch/
Regulation&InstitutionalDesign,20540,New Haven,Yale University,Connecticut,LAW,http://www.koofers.com/yale-university/law/20540-regulation-institutionaldesign/
Physics of Weather and Climate,322,New Haven,Yale University,Connecticut,G&G,http://www.koofers.com/yale-university/g-g/322-physics-of-weather-and-climate/
OrganicLatinAmerAnthro's20thC,545,New Haven,Yale University,Connecticut,ARCG,http://www.koofers.com/yale-university/arcg/545-organiclatinameranthros20thc/
